plotid,sampleid,sample_internal_id,lon,lat,imagery_title,for2000,for2008,for2021,fcc_p1,fcc_p2,for2021_fnf,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,gain,lossyear,treecover2000
1,1,750583100,165.97902309312892,-21.629245494334754,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
1,2,750583101,165.97902309312892,-21.62897599999999,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
1,3,750583102,165.97902309312892,-21.628706505162583,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
1,4,750583103,165.979313,-21.629245494334754,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,45
1,5,750583104,165.979313,-21.62897599999999,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,1,NA,37
1,6,750583105,165.979313,-21.628706505162583,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,4,4,4,4,0,NA,45
1,7,750583106,165.9796029068711,-21.629245494334754,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,2,2,0,NA,81
1,8,750583107,165.9796029068711,-21.62897599999999,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,1,1,0,NA,81
1,9,750583108,165.9796029068711,-21.628706505162583,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,1,1,0,NA,79
2,17,750583109,165.96551405869798,-21.646398494334548,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,51
2,18,750583110,165.96551405869798,-21.646129,NA,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,52
2,19,750583111,165.96551405869798,-21.64585950516239,NA,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,2,2,0,NA,62
2,20,750583112,165.96580400000002,-21.646398494334548,NA,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,1,NA,0
2,21,750583113,165.96580400000002,-21.646129,NA,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,38
2,22,750583114,165.96580400000002,-21.64585950516239,NA,Forest,Forest,NA,stableF,NA,NA,1,1,4,4,4,4,0,NA,47
2,23,750583115,165.96609394130203,-21.646398494334548,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,1,NA,0
2,24,750583116,165.96609394130203,-21.646129,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,4,4,4,4,1,NA,0
2,25,750583117,165.96609394130203,-21.64585950516239,NA,Forest,Forest,NA,stableF,NA,NA,6,6,4,4,4,4,1,NA,29
3,33,750583118,166.0003220525802,-21.649444494334503,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,6,6,6,6,0,NA,37
3,34,750583119,166.0003220525802,-21.649175,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,45
3,35,750583120,166.0003220525802,-21.64890550516236,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,3,3,4,4,0,NA,51
3,36,750583121,166.000612,-21.649444494334503,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,2,2,0,NA,45
3,37,750583122,166.000612,-21.649175,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,1,1,1,NA,45
3,38,750583123,166.000612,-21.64890550516236,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,2,2,0,NA,90
3,39,750583124,166.00090194741975,-21.649444494334503,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,4,4,0,NA,48
3,40,750583125,166.00090194741975,-21.649175,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,2,2,2,2,1,NA,37
3,41,750583126,166.00090194741975,-21.64890550516236,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,2,2,2,2,0,NA,89
4,49,750583127,165.97832904088196,-21.65526749433444,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
4,50,750583128,165.97832904088196,-21.65499800000001,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
4,51,750583129,165.97832904088196,-21.65472850516228,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
4,52,750583130,165.978619,-21.65526749433444,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,9
4,53,750583131,165.978619,-21.65499800000001,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,14
4,54,750583132,165.978619,-21.65472850516228,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,14
4,55,750583133,165.978908959118,-21.65526749433444,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,39
4,56,750583134,165.978908959118,-21.65499800000001,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
4,57,750583135,165.978908959118,-21.65472850516228,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
5,65,750583136,165.9528500307817,-21.66029349433437,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,2,2,0,NA,97
5,66,750583137,165.9528500307817,-21.660023999999993,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,4,4,0,NA,97
5,67,750583138,165.9528500307817,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,66
5,68,750583139,165.95314,-21.66029349433437,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,37
5,69,750583140,165.95314,-21.660023999999993,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,37
5,70,750583141,165.95314,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
5,71,750583142,165.95342996921826,-21.66029349433437,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,55
5,72,750583143,165.95342996921826,-21.660023999999993,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,55
5,73,750583144,165.95342996921826,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,47
6,81,750583145,165.99036899579798,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,41
6,82,750583146,165.99036899579798,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,41
6,83,750583147,165.99036899579798,-21.677151505161987,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,29
6,84,750583148,165.990659,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,37
6,85,750583149,165.990659,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,37
6,86,750583150,165.990659,-21.677151505161987,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,37
6,87,750583151,165.99094900420198,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,16
6,88,750583152,165.99094900420198,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,16
