system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
0,6,6,6,6,6,6,1,0,0,-21.629245494334757,165.97902309312892,0,,37,"{""type"":""Point"",""coordinates"":[165.97902309312892,-21.629245494334754]}"
1,6,6,6,6,6,6,1,0,1,-21.62897599999999,165.97902309312892,0,,37,"{""type"":""Point"",""coordinates"":[165.97902309312892,-21.62897599999999]}"
2,6,6,6,6,6,6,1,0,2,-21.628706505162583,165.97902309312892,0,,37,"{""type"":""Point"",""coordinates"":[165.97902309312892,-21.62870650516258]}"
3,6,6,6,6,4,4,1,0,3,-21.629245494334757,165.979313,0,,45,"{""type"":""Point"",""coordinates"":[165.979313,-21.62924549433476]}"
4,6,6,6,6,4,4,1,1,4,-21.62897599999999,165.979313,0,,37,"{""type"":""Point"",""coordinates"":[165.979313,-21.62897599999999]}"
5,1,1,4,4,4,4,1,0,5,-21.628706505162583,165.979313,0,,45,"{""type"":""Point"",""coordinates"":[165.979313,-21.628706505162583]}"
6,1,1,2,2,2,2,1,0,6,-21.629245494334757,165.9796029068711,0,,81,"{""type"":""Point"",""coordinates"":[165.97960290687112,-21.629245494334757]}"
7,1,1,1,1,1,1,1,0,7,-21.62897599999999,165.9796029068711,0,,81,"{""type"":""Point"",""coordinates"":[165.97960290687112,-21.62897599999999]}"
8,1,1,1,1,1,1,1,0,8,-21.628706505162583,165.9796029068711,0,,79,"{""type"":""Point"",""coordinates"":[165.97960290687112,-21.628706505162583]}"
9,6,6,6,6,6,6,1,0,9,-21.646398494334548,165.96551405869798,0,,51,"{""type"":""Point"",""coordinates"":[165.96551405869798,-21.646398494334548]}"
10,6,6,6,6,6,6,1,0,10,-21.646129,165.96551405869798,0,,52,"{""type"":""Point"",""coordinates"":[165.96551405869798,-21.646129]}"
11,1,1,2,2,2,2,1,0,11,-21.64585950516239,165.96551405869798,0,,62,"{""type"":""Point"",""coordinates"":[165.96551405869798,-21.64585950516239]}"
12,6,6,6,4,4,4,1,1,12,-21.646398494334548,165.96580400000002,0,,0,"{""type"":""Point"",""coordinates"":[165.96580400000002,-21.646398494334548]}"
13,6,6,6,6,6,6,1,0,13,-21.646129,165.96580400000002,0,,38,"{""type"":""Point"",""coordinates"":[165.96580400000002,-21.646129]}"
14,1,1,4,4,4,4,1,0,14,-21.64585950516239,165.96580400000002,0,,47,"{""type"":""Point"",""coordinates"":[165.96580400000002,-21.64585950516239]}"
15,6,6,6,4,4,4,1,1,15,-21.646398494334548,165.96609394130203,0,,0,"{""type"":""Point"",""coordinates"":[165.96609394130203,-21.646398494334548]}"
16,6,6,4,4,4,4,1,1,16,-21.646129,165.96609394130203,0,,0,"{""type"":""Point"",""coordinates"":[165.96609394130203,-21.646129]}"
17,6,6,4,4,4,4,1,1,17,-21.64585950516239,165.96609394130203,0,,29,"{""type"":""Point"",""coordinates"":[165.96609394130203,-21.645859505162388]}"
18,6,6,6,6,6,6,1,0,18,-21.649444494334503,166.0003220525802,0,,37,"{""type"":""Point"",""coordinates"":[166.0003220525802,-21.649444494334503]}"
19,6,6,6,6,6,6,1,0,19,-21.649175,166.0003220525802,0,,45,"{""type"":""Point"",""coordinates"":[166.0003220525802,-21.649175000000003]}"
20,1,1,3,3,4,4,1,0,20,-21.64890550516236,166.0003220525802,0,,51,"{""type"":""Point"",""coordinates"":[166.0003220525802,-21.64890550516236]}"
21,1,1,2,2,2,2,1,0,21,-21.649444494334503,166.000612,0,,45,"{""type"":""Point"",""coordinates"":[166.000612,-21.649444494334507]}"
22,1,1,1,1,1,1,1,1,22,-21.649175,166.000612,0,,45,"{""type"":""Point"",""coordinates"":[166.000612,-21.649175000000003]}"
23,1,1,2,2,2,2,1,0,23,-21.64890550516236,166.000612,0,,90,"{""type"":""Point"",""coordinates"":[166.000612,-21.648905505162364]}"
24,6,6,6,6,4,4,1,0,24,-21.649444494334503,166.00090194741975,0,,48,"{""type"":""Point"",""coordinates"":[166.00090194741975,-21.649444494334503]}"
25,1,1,2,2,2,2,1,1,25,-21.649175,166.00090194741975,0,,37,"{""type"":""Point"",""coordinates"":[166.00090194741975,-21.649175]}"
26,1,1,2,2,2,2,1,0,26,-21.64890550516236,166.00090194741975,0,,89,"{""type"":""Point"",""coordinates"":[166.00090194741975,-21.64890550516236]}"
27,6,6,6,6,6,6,1,0,27,-21.65526749433444,165.97832904088196,0,,45,"{""type"":""Point"",""coordinates"":[165.978329040882,-21.655267494334435]}"
28,6,6,6,6,6,6,1,0,28,-21.65499800000001,165.97832904088196,0,,45,"{""type"":""Point"",""coordinates"":[165.978329040882,-21.654998000000006]}"
29,6,6,6,6,6,6,1,0,29,-21.65472850516228,165.97832904088196,0,,45,"{""type"":""Point"",""coordinates"":[165.978329040882,-21.654728505162282]}"
30,6,6,6,6,6,6,1,1,30,-21.65526749433444,165.978619,0,,9,"{""type"":""Point"",""coordinates"":[165.978619,-21.65526749433444]}"
31,6,6,6,6,6,6,1,1,31,-21.65499800000001,165.978619,0,,14,"{""type"":""Point"",""coordinates"":[165.978619,-21.65499800000001]}"
32,6,6,6,6,6,6,1,1,32,-21.65472850516228,165.978619,0,,14,"{""type"":""Point"",""coordinates"":[165.978619,-21.654728505162282]}"
33,6,6,6,6,6,6,1,0,33,-21.65526749433444,165.978908959118,0,,39,"{""type"":""Point"",""coordinates"":[165.978908959118,-21.65526749433444]}"
34,6,6,6,6,6,6,1,0,34,-21.65499800000001,165.978908959118,0,,45,"{""type"":""Point"",""coordinates"":[165.978908959118,-21.654998000000006]}"
35,6,6,6,6,6,6,1,0,35,-21.65472850516228,165.978908959118,0,,45,"{""type"":""Point"",""coordinates"":[165.978908959118,-21.654728505162282]}"
36,1,1,1,1,2,2,1,0,36,-21.66029349433437,165.9528500307817,0,,97,"{""type"":""Point"",""coordinates"":[165.9528500307817,-21.66029349433436]}"
37,6,6,6,6,4,4,1,0,37,-21.660023999999996,165.9528500307817,0,,97,"{""type"":""Point"",""coordinates"":[165.9528500307817,-21.660023999999996]}"
38,6,6,6,6,6,6,1,0,38,-21.65975450516221,165.9528500307817,0,,66,"{""type"":""Point"",""coordinates"":[165.9528500307817,-21.65975450516221]}"
39,6,6,6,6,6,6,1,1,39,-21.66029349433437,165.95314,0,,37,"{""type"":""Point"",""coordinates"":[165.95314,-21.66029349433436]}"
