system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
0,6,6,6,6,6,6,1,0,0,0,,45,"{""type"":""Point"",""coordinates"":[165.21545852054987,-21.414878494337515]}"
1,6,6,6,6,6,6,1,0,1,0,,45,"{""type"":""Point"",""coordinates"":[165.21545852054987,-21.414609]}"
2,6,6,6,6,6,6,1,0,2,0,,45,"{""type"":""Point"",""coordinates"":[165.21545852054987,-21.41433950516536]}"
3,6,6,6,6,6,6,1,0,3,0,,51,"{""type"":""Point"",""coordinates"":[165.215748,-21.414878494337515]}"
4,6,6,6,6,6,6,1,0,4,1,14,54,"{""type"":""Point"",""coordinates"":[165.215748,-21.414609]}"
5,6,6,6,6,6,6,1,0,5,1,14,51,"{""type"":""Point"",""coordinates"":[165.215748,-21.41433950516536]}"
6,6,6,6,6,6,6,1,0,6,0,,45,"{""type"":""Point"",""coordinates"":[165.21603747945014,-21.414878494337515]}"
7,6,6,6,6,6,6,1,0,7,0,,51,"{""type"":""Point"",""coordinates"":[165.21603747945014,-21.414609000000002]}"
8,6,6,6,6,6,6,1,0,8,0,,45,"{""type"":""Point"",""coordinates"":[165.21603747945014,-21.41433950516536]}"
9,6,6,6,6,6,6,1,0,9,1,13,45,"{""type"":""Point"",""coordinates"":[165.21865949799312,-21.426258494337347]}"
10,6,6,6,6,6,6,1,0,10,0,,37,"{""type"":""Point"",""coordinates"":[165.21865949799312,-21.425988999999998]}"
11,6,6,6,6,6,6,1,0,11,1,13,37,"{""type"":""Point"",""coordinates"":[165.21865949799312,-21.42571950516519]}"
12,6,6,6,6,6,6,1,0,12,0,,45,"{""type"":""Point"",""coordinates"":[165.218949,-21.426258494337347]}"
13,6,6,6,6,6,6,1,0,13,0,,38,"{""type"":""Point"",""coordinates"":[165.218949,-21.425989000000005]}"
14,6,6,6,6,6,6,1,1,14,1,13,0,"{""type"":""Point"",""coordinates"":[165.218949,-21.42571950516519]}"
15,6,6,6,6,6,6,1,0,15,0,,45,"{""type"":""Point"",""coordinates"":[165.21923850200693,-21.426258494337347]}"
16,6,6,6,6,6,6,1,0,16,0,,45,"{""type"":""Point"",""coordinates"":[165.21923850200693,-21.425989000000005]}"
17,6,6,6,6,6,6,1,0,17,0,,37,"{""type"":""Point"",""coordinates"":[165.21923850200693,-21.42571950516519]}"
18,6,6,6,6,6,6,1,0,18,0,,0,"{""type"":""Point"",""coordinates"":[165.22502550230936,-21.424081494337397]}"
19,6,6,6,6,6,6,1,0,19,0,,0,"{""type"":""Point"",""coordinates"":[165.22502550230936,-21.423812000000005]}"
20,6,6,6,6,6,6,1,0,20,0,,0,"{""type"":""Point"",""coordinates"":[165.22502550230936,-21.42354250516524]}"
21,6,6,6,6,6,6,1,0,21,0,,0,"{""type"":""Point"",""coordinates"":[165.225315,-21.424081494337397]}"
22,6,6,6,6,6,6,1,0,22,1,19,0,"{""type"":""Point"",""coordinates"":[165.225315,-21.423812000000005]}"
23,6,6,6,6,6,6,1,0,23,1,19,29,"{""type"":""Point"",""coordinates"":[165.225315,-21.423542505165244]}"
24,6,6,6,6,6,6,1,0,24,0,,6,"{""type"":""Point"",""coordinates"":[165.22560449769065,-21.424081494337397]}"
25,6,6,6,6,6,6,1,0,25,1,19,37,"{""type"":""Point"",""coordinates"":[165.2256035028486,-21.423809494337405]}"
26,6,6,6,6,6,6,1,0,26,1,19,45,"{""type"":""Point"",""coordinates"":[165.2256035028486,-21.423540000000003]}"
27,6,6,6,6,6,6,1,0,27,1,19,45,"{""type"":""Point"",""coordinates"":[165.2256035028486,-21.423270505165245]}"
28,6,6,6,6,6,6,1,0,28,1,19,45,"{""type"":""Point"",""coordinates"":[165.225893,-21.423809494337405]}"
29,6,6,6,6,6,6,1,0,29,1,19,45,"{""type"":""Point"",""coordinates"":[165.225893,-21.423540000000003]}"
30,6,6,6,6,6,6,1,0,30,0,,45,"{""type"":""Point"",""coordinates"":[165.225893,-21.42327050516525]}"
31,6,6,6,6,6,6,1,0,31,0,,29,"{""type"":""Point"",""coordinates"":[165.2261824971514,-21.423809494337405]}"
