plotid,sampleid,Classification_MAJ,Classification_2010
1,1,Non Forêt,Non Forêt
1,2,Non Forêt,Non Forêt
1,3,Non Forêt,Non Forêt
1,4,Non Forêt,Non Forêt
1,5,Non Forêt,Non Forêt
1,6,Forêt,Forêt
1,7,Forêt,Forêt
1,8,Forêt,Forêt
1,9,Forêt,Forêt
2,17,Non Forêt,Non Forêt
2,18,Non Forêt,Forêt
2,19,Forêt,Forêt
2,20,Non Forêt,Non Forêt
2,21,Non Forêt,Non Forêt
2,22,Forêt,Forêt
2,23,Non Forêt,Non Forêt
2,24,Non Forêt,Non Forêt
2,25,Forêt,Forêt
3,33,Forêt,Forêt
3,34,Non Forêt,Forêt
3,35,Non Forêt,Forêt
3,36,Forêt,Forêt
3,37,Forêt,Forêt
3,38,Forêt,Forêt
3,39,Non Forêt,Forêt
3,40,Non Forêt,Forêt
3,41,Forêt,Forêt
4,49,Non Forêt,Non Forêt
4,50,Non Forêt,Non Forêt
4,51,Non Forêt,Non Forêt
4,52,Non Forêt,Non Forêt
4,53,Non Forêt,Non Forêt
4,54,Non Forêt,Non Forêt
4,55,Non Forêt,Non Forêt
4,56,Non Forêt,Non Forêt
4,57,Non Forêt,Non Forêt
5,65,Forêt,Forêt
5,66,Non Forêt,Forêt
5,67,Non Forêt,Non Forêt
5,68,Non Forêt,Non Forêt
5,69,Non Forêt,Non Forêt
5,70,Non Forêt,Non Forêt
5,71,Non Forêt,Non Forêt
5,72,Non Forêt,Non Forêt
5,73,Non Forêt,Non Forêt
6,81,Non Forêt,Non Forêt
6,82,Non Forêt,Non Forêt
6,83,Non Forêt,Non Forêt
6,84,Non Forêt,Non Forêt
6,85,Non Forêt,Non Forêt
6,86,Non Forêt,Non Forêt
6,87,Non Forêt,Non Forêt
6,88,Non Forêt,Non Forêt
6,89,Non Forêt,Non Forêt
7,97,Non Forêt,Forêt
7,98,Non Forêt,Non Forêt
7,99,Non Forêt,Non Forêt
7,100,Forêt,Non Forêt
7,101,Forêt,Forêt
7,102,Non Forêt,Forêt
7,103,Non Forêt,Non Forêt
7,104,Non Forêt,Forêt
7,105,Forêt,Forêt
8,113,Non Forêt,Non Forêt
8,114,Non Forêt,Non Forêt
8,115,Non Forêt,Non Forêt
8,116,Non Forêt,Non Forêt
8,117,Non Forêt,Non Forêt
8,118,Non Forêt,Non Forêt
8,119,Non Forêt,Non Forêt
8,120,Non Forêt,Non Forêt
8,121,Non Forêt,Non Forêt
9,129,Forêt,Forêt
9,130,Non Forêt,Non Forêt
9,131,Non Forêt,Non Forêt
9,132,Forêt,Forêt
9,133,Non Forêt,Non Forêt
9,134,Non Forêt,Non Forêt
9,135,Non Forêt,Non Forêt
9,136,Non Forêt,Forêt
9,137,Non Forêt,Non Forêt
10,145,Non Forêt,Non Forêt
10,146,Forêt,Forêt
10,147,Forêt,Forêt
10,148,Non Forêt,Non Forêt
10,149,Non Forêt,Non Forêt
10,150,Non Forêt,Non Forêt
10,151,Non Forêt,Non Forêt
10,152,Non Forêt,Non Forêt
10,153,Non Forêt,Non Forêt
11,161,Non Forêt,Non Forêt
11,162,Forêt,Forêt
11,163,Forêt,Forêt
11,164,Non Forêt,Non Forêt
11,165,Forêt,Forêt
11,166,Forêt,Forêt
11,167,Non Forêt,Non Forêt
11,168,Forêt,Forêt
11,169,Forêt,Non Forêt
12,177,Non Forêt,Non Forêt
12,178,Non Forêt,Non Forêt
12,179,Non Forêt,Non Forêt
12,180,Non Forêt,Non Forêt
12,181,Non Forêt,Non Forêt
12,182,Non Forêt,Non Forêt
12,183,Non Forêt,Non Forêt
12,184,Non Forêt,Non Forêt
12,185,Non Forêt,Non Forêt
13,193,Non Forêt,Non Forêt
13,194,Non Forêt,Non Forêt
13,195,Non Forêt,Non Forêt
