plotid,sampleid,Classification_MAJ,Classification 2010
1,1,Forêt,
1,2,Forêt,
1,3,Non interprétable,
1,4,Forêt,
1,5,Forêt,
1,6,Forêt,
1,7,Forêt,
1,8,Forêt,
1,9,Forêt,
2,17,Forêt,
2,18,Non Forêt,
2,19,Non Forêt,
2,20,Forêt,
2,21,Non Forêt,
2,22,Non Forêt,
2,23,Forêt,
2,24,Non Forêt,
2,25,Non Forêt,
3,33,Non Forêt,
3,34,Non Forêt,
3,35,Non Forêt,
3,36,Non Forêt,
3,37,Non Forêt,
3,38,Non Forêt,
3,39,Non Forêt,
3,40,Non Forêt,
3,41,Non Forêt,
4,49,Non Forêt,
4,50,Non Forêt,
4,51,Non Forêt,
4,52,Non Forêt,
4,53,Non Forêt,
4,54,Non Forêt,
4,55,Non Forêt,
4,56,Non Forêt,
4,57,Non Forêt,
5,65,Forêt,
5,66,Non interprétable,
5,67,Non interprétable,
5,68,Forêt,
5,69,Non interprétable,
5,70,Forêt,
5,71,Forêt,
5,72,Forêt,
5,73,Non interprétable,
6,81,Non Forêt,
6,82,Non Forêt,
6,83,Non Forêt,
6,84,Non Forêt,
6,85,Non Forêt,
6,86,Non Forêt,
6,87,Non Forêt,
6,88,Non Forêt,
6,89,Non Forêt,
7,97,Non Forêt,
7,98,Non Forêt,
7,99,Non Forêt,
7,100,Non Forêt,
7,101,Non Forêt,
7,102,Non Forêt,
7,103,Non Forêt,
7,104,Non Forêt,
7,105,Forêt,
8,113,Non Forêt,
8,114,Non Forêt,
8,115,Non Forêt,
8,116,Non Forêt,
8,117,Non Forêt,
8,118,Non Forêt,
8,119,Non Forêt,
8,120,Non Forêt,
8,121,Non Forêt,
9,129,Non Forêt,
9,130,Non Forêt,
9,131,Non Forêt,
9,132,Non Forêt,
9,133,Non Forêt,
9,134,Non Forêt,
9,135,Non Forêt,
9,136,Non Forêt,
9,137,Non Forêt,
10,145,Non interprétable,
10,146,Non interprétable,
10,147,Non interprétable,
10,148,Non interprétable,
10,149,Non interprétable,
10,150,Non interprétable,
10,151,Non interprétable,
10,152,Non interprétable,
10,153,Non interprétable,
11,161,Forêt,
11,162,Forêt,
11,163,Forêt,
11,164,Forêt,
11,165,Forêt,
11,166,Forêt,
11,167,Forêt,
11,168,Forêt,
11,169,Forêt,
12,177,Forêt,
12,178,Forêt,
12,179,Forêt,
12,180,Non Forêt,
12,181,Non Forêt,
12,182,Forêt,
12,183,Non Forêt,
12,184,Non Forêt,
12,185,Forêt,
13,193,Non Forêt,
13,194,Non Forêt,
13,195,Non Forêt,
13,196,Non Forêt,
